,pool_factor,pool_type,marker,loss,accuracy,consis_b,consis_b_std,consis_ub,consis_n,consis_a,consis_a_s,robustness,with_augment
23,1,maxblur-3,^,0.6479558354127587,0.8653919577598572,0.849115133245238,0.05778363197099924,0.7780631614920537,0.9151214679981068,0.7525467103837582,0.7831087984923694,0.774067759513855,False
24,1,maxblur-4,D,0.6238820710927226,0.866571044921875,0.8404572738947849,0.05308481823334627,0.7694271671350889,0.9020310673465769,0.7447311994626572,0.7788834804429928,0.7406460245450338,False
25,1,maxblur-5,p,0.537061336768985,0.8505137324333191,0.8240525543548154,0.07936471140316462,0.7345537289240003,0.9208284788646044,0.7000570979379894,0.7272766298450265,0.6763600905736288,False
26,1,maxblur-6,h,0.521778783440398,0.8560505270957947,0.8641606215115031,0.08263927112761833,0.8363607146004541,0.8885424988427294,0.8263847304402656,0.8397787441802768,0.7781882484753927,False
27,1,maxblur-7,*,0.4721727700478825,0.8758726358413697,0.8683415550904687,0.07770162291153856,0.8232844789662981,0.908037876365045,0.8074117657603226,0.8286452338158925,0.8198667367299398,False
28,2,max,$M$,1.3685718060030923,0.8054368734359741,0.7275702692393156,0.05132236393492949,0.6262704260924771,0.8737352258050513,0.580427269722118,0.5814053126735799,0.7461084127426147,False
29,2,avg,$A$,0.9504904304450814,0.759791088104248,0.7483086571243734,0.030637986530583187,0.6849333017930876,0.8970647595514422,0.6453217387086587,0.5995525546973045,0.7372359434763589,False
30,2,maxblur-3,^,0.7480600931827117,0.8074764251708985,0.7780049501469161,0.0810060554584317,0.7580983014222025,0.8451444852430676,0.742159419762635,0.7108654150507645,0.7219538291295371,False
31,2,maxblur-4,D,0.6306558323381234,0.8029167056083679,0.8066319699038109,0.08516653450592075,0.781248836219584,0.8807193106210406,0.762690847089824,0.7325446291865814,0.8294180631637573,False
32,2,maxblur-5,p,0.4358323275980025,0.8487645387649536,0.8332064534644397,0.07882555872398989,0.791818345742853,0.9347359907400149,0.7649983840703607,0.7316769161888647,0.7819456458091736,False
33,2,maxblur-6,h,0.6201343647692725,0.7814027070999146,0.7647364318659303,0.03379420191851962,0.7046872868008803,0.9273876575523168,0.6632020924311752,0.6020852061795439,0.7857345740000407,False
34,2,maxblur-7,*,0.49587019780126224,0.8539383888244629,0.8579785064159715,0.08665022199807801,0.8141671775302936,0.9425183223761359,0.7901988726979593,0.7734386904558069,0.8615768353144327,False
35,3,max,$M$,1.1091128562314967,0.7770067095756531,0.7732349800282694,0.04763879430243818,0.7195366986557217,0.8325058709939501,0.6984916759852821,0.7139640890625888,0.7085504134496053,False
36,3,avg,$A$,0.6869076809751065,0.8150803565979003,0.793043075097153,0.06363809513850263,0.7685003441324479,0.8436537838499012,0.7543131086426665,0.7424323663444048,0.6636670728524526,False
37,3,maxblur-3,^,0.43766883073593155,0.877807080745697,0.8538678504396833,0.08224632991522825,0.775502912858601,0.9512382042777752,0.7427262868256658,0.7564974966015915,0.7867923180262247,False
38,3,maxblur-4,D,0.3797578613239755,0.8743257522583008,0.8687999913135936,0.06961723793119055,0.8157051815839124,0.9478960096961438,0.7909355046366373,0.7897039729310432,0.8271289269129435,False
39,3,maxblur-5,p,0.41143058518711423,0.8763569951057434,0.8920126418812323,0.06416007333082933,0.8431079196441436,0.9545276716823992,0.8223839733521867,0.8294976120800659,0.7615168293317159,False
40,3,maxblur-6,h,0.42019233707754766,0.83602294921875,0.8464944319210556,0.04551407126869721,0.8044340832270649,0.931559859074279,0.7806100042124886,0.7614290047678323,0.8332386016845703,False
41,3,maxblur-7,*,0.44236263543210974,0.8382545709609985,0.8659797742928124,0.06917266050458126,0.8267087209705973,0.9372693799481191,0.8060819057530786,0.7946901686375056,0.8054055770238241,False
