,idx,pool_factor,pool_type,cross_idx,repeat_idx,loss,accuracy,consis_b,consis_ub,consis_n,consis_a,consis_a_s,robustness,with_augment,marker,blur_size
3,34,1,maxblur-7,3,3,0.0008959685127256432,1.0,0.9971952929699408,0.9986756869873752,0.9955171142293879,0.9992492385623551,0.998873471710494,0.9507042169570924,True,*,7
4,45,1,maxblur-7,4,4,0.7327126005332764,0.91780823469162,0.9618954709497968,0.9851541298665604,0.9346323249743772,0.9943281660490284,0.9891586169252166,0.9175148407618204,True,*,7
0,7,2,max,0,6,1.1262733936239513,0.9054054021835328,0.925794223413271,0.95835553934906,0.977788084930942,0.9547771677841098,0.8738003618956,0.9467651844024658,True,$M$,0
1,13,2,max,1,2,1.9566894878040664,0.8636363744735718,0.9791245791245792,0.9693881974691294,0.9582491582491582,0.9715248418207862,1.0,0.7975971102714539,True,$M$,0
2,26,2,max,2,5,1.4844143030738145e-05,1.0,0.9966028752721512,0.9989310771330476,0.9934824905470698,0.9999483324291508,0.9997232599972324,0.9692307710647584,True,$M$,0
3,34,2,max,3,3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,$M$,0
4,44,2,max,4,3,0.5723516369519168,0.9383561611175536,0.975167019432613,0.9922370627379904,0.9503340388652259,0.999846051727674,1.0,0.9183673461278281,True,$M$,0
0,6,2,avg,0,5,0.8267189116292709,0.912162184715271,0.8929859822716966,0.9488391206996576,0.8972777663253854,0.9583337946509302,0.8886941982180078,0.8892993529637655,True,$A$,-1
1,20,2,avg,1,9,1.5575086203488435,0.8571428656578064,0.9697931697931701,0.9881772971901728,0.9395863395863396,0.9974978133545908,1.0,0.8682170510292053,True,$A$,-1
2,30,2,avg,2,9,0.00011541939403590124,1.0,0.982664215540928,0.9945452057521024,0.9653284310818556,1.0,1.0,0.9076923131942748,True,$A$,-1
3,33,2,avg,3,2,0.0,1.0,0.9481564712953044,0.966366554492714,1.0,0.9602592024952272,0.8963129425906086,0.982097178697586,True,$A$,-1
4,49,2,avg,4,8,0.4488395183053735,0.9383561611175536,0.969926340147668,0.9868211222571148,0.9547065945456288,0.9926526605372056,0.9851460857497076,0.944725732008616,True,$A$,-1
0,6,2,maxblur-3,0,5,1.4884800105481537,0.8716216087341309,0.9040489933347076,0.9434633726518946,0.9200852057994916,0.9477683036323884,0.8880127808699237,0.9067285458246866,True,^,3
1,17,2,maxblur-3,1,6,2.166666643960135,0.8831169009208679,0.9595189995189995,0.9840155076206578,0.9190379990379992,0.9964792241007074,1.0,0.83465176820755,True,^,3
2,28,2,maxblur-3,2,7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,^,3
3,34,2,maxblur-3,3,3,0.0,1.0,1.0,0.9993851403869958,1.0,0.9992734906874476,1.0,1.0,True,^,3
4,43,2,maxblur-3,4,2,0.5890388227488896,0.8698630332946777,0.9031534081835892,0.9263007314955368,0.9741246904224772,0.9176165855011308,0.8321821259447013,0.9420811931292216,True,^,3
0,4,2,maxblur-4,0,3,1.4671342415181363,0.8986486196517944,0.8774135916993059,0.9429620398457176,0.9146567717996288,0.9481742631176316,0.8401704115989831,0.9052603443463644,True,D,4
1,16,2,maxblur-4,1,5,2.085952676735915,0.8571428656578064,0.9791658077372364,0.9881702193167552,0.9583316154744724,0.9938937366778068,1.0,0.8122484584649404,True,D,4
2,21,2,maxblur-4,2,0,0.13141291824518705,0.9733333587646484,0.9395633720486948,0.9580685461227332,1.0,0.9502399115113768,0.8791267440973899,0.9863597551981608,True,D,4
3,39,2,maxblur-4,3,8,0.0,1.0,1.0,0.9998697104448496,1.0,0.999846051727674,1.0,1.0,True,D,4
4,48,2,maxblur-4,4,7,0.7578084692103814,0.952054798603058,0.8994021851164709,0.9336067629203064,0.9562976705833848,0.9294864190735582,0.8425066996495569,0.915740211804708,True,D,4
0,3,2,maxblur-5,0,2,1.0123921697204177,0.8851351141929626,0.8759133282942808,0.9302604214668392,0.9186937401223116,0.9323903474433252,0.8331329164662499,0.8117836515108744,True,p,5
1,16,2,maxblur-5,1,5,2.0613024048991018,0.8766233921051025,0.9731491788634644,0.9907235621521336,0.9462983577269292,0.9992450208014694,1.0,0.8759689927101135,True,p,5
2,25,2,maxblur-5,2,4,2.781549360027687e-08,1.0,1.0,0.9995033018432034,1.0,0.9994105679162312,1.0,1.0,True,p,5
3,31,2,maxblur-5,3,0,0.0024775909259914857,1.0,1.0,1.0,1.0,1.0,1.0,0.98591548204422,True,p,5
